id,music_genre,dance_style
0cZwsJ1u2d0_01_1200_1410,Electronic,Zumba
0cZwsJ1u2d0_01_321_1026,Electronic,Zumba
0oOe8Qjieps_01_0_1110,Electronic,Commercial
0oOe8Qjieps_02_0_1290,Electronic,Commercial
0oOe8Qjieps_04_0_780,Electronic,Commercial
0oOe8Qjieps_05_0_930,Electronic,Commercial
1-vFCrO-fuM_01_9_1110,Electronic,Aerobic
1-vFCrO-fuM_02_0_1440,Electronic,Aerobic
1-vFCrO-fuM_03_0_1110,Electronic,Aerobic
1-vFCrO-fuM_04_0_1110,Electronic,Aerobic
1-vFCrO-fuM_05_0_1080,Electronic,Aerobic
1-vFCrO-fuM_06_0_1063,Electronic,Aerobic
2Lb-nwr4w1Q_03_0_1860,Electronic,Aerobic
2M0YS1QGBp4_01_0_930,Electronic,Commercial
2nOPiHypcVw_01_194_1664,Electronic,Commercial
2nOPiHypcVw_02_0_1230,Electronic,Commercial
2nOPiHypcVw_03_0_1200,Electronic,Commercial
2nOPiHypcVw_04_0_930,Electronic,Commercial
3Oc9bbt3-Bc_02_0_952,Electronic,Zumba
3u3qqZ-IFZg_01_114_1080,Electronic,Zumba
5IVqO55N3Mk_04_0_1740,Electronic,Aerobic
5fOfG4z3lBM_03_0_468,Electronic,Zumba
5fOfG4z3lBM_03_531_1110,Electronic,Zumba
5fOfG4z3lBM_04_0_517,Electronic,Zumba
5fOfG4z3lBM_04_795_1650,Electronic,Zumba
5mxst5B036w_04_0_1500,Electronic,Zumba
66CzFi5hLKI_02_0_1406,Electronic,Zumba
66CzFi5hLKI_03_0_1800,Electronic,Zumba
66CzFi5hLKI_04_0_1500,Electronic,Zumba
66CzFi5hLKI_05_60_1200,Electronic,Zumba
66CzFi5hLKI_06_0_1860,Electronic,Zumba
66CzFi5hLKI_07_0_1830,Electronic,Zumba
66CzFi5hLKI_08_0_950,Electronic,Zumba
66CzFi5hLKI_09_2_1830,Electronic,Zumba
66CzFi5hLKI_10_0_1230,Electronic,Zumba
66CzFi5hLKI_11_0_780,Electronic,Zumba
66CzFi5hLKI_12_0_1750,Electronic,Zumba
66CzFi5hLKI_13_150_1470,Electronic,Zumba
66CzFi5hLKI_14_0_780,Electronic,Zumba
66CzFi5hLKI_15_0_1740,Electronic,Zumba
66CzFi5hLKI_16_0_960,Electronic,Zumba
66CzFi5hLKI_17_0_1070,Electronic,Zumba
7lBsUrfTZXk_01_126_936,Electronic,Commercial
7lBsUrfTZXk_02_0_1110,Electronic,Commercial
7lBsUrfTZXk_03_0_1380,Electronic,Commercial
7lBsUrfTZXk_04_0_832,Electronic,Commercial
7lBsUrfTZXk_05_0_786,Electronic,Commercial
8JQ0zHmZBIg_05_0_1950,Electronic,Zumba
8JQ0zHmZBIg_06_0_1320,Electronic,Zumba
8JQ0zHmZBIg_07_0_1890,Electronic,Zumba
8JQ0zHmZBIg_08_0_1890,Electronic,Zumba
8JQ0zHmZBIg_09_0_810,Electronic,Zumba
8QvKh-jvI1I_02_0_1098,Electronic,Commercial
8QvKh-jvI1I_05_0_1290,Electronic,Commercial
8QvKh-jvI1I_07_0_1050,Electronic,Commercial
8QvKh-jvI1I_08_0_1290,Electronic,Commercial
8QvKh-jvI1I_09_0_1290,Electronic,Commercial
8QvKh-jvI1I_10_0_843,Electronic,Commercial
8QvKh-jvI1I_14_0_960,Electronic,Commercial
8QvKh-jvI1I_16_0_1740,Electronic,Commercial
