id,music_genre,dance_style
CcLbVm1gSQM_02_0_1230,Indian,Bollywood
CcLbVm1gSQM_03_0_1680,Indian,Bollywood
EP2E--xkvmM_02_0_870,Indian,Bollywood
EP2E--xkvmM_03_0_1380,Indian,Bollywood
EP2E--xkvmM_04_0_1560,Indian,Bollywood
EP2E--xkvmM_05_0_1890,Indian,Bollywood
ElKJaNzYlEo_01_51_1140,Indian,Bollywood
ElKJaNzYlEo_02_0_780,Indian,Bollywood
ElKJaNzYlEo_04_0_810,Indian,Bollywood
ElKJaNzYlEo_05_0_1200,Indian,Bollywood
EleLHzf3pT0_18_0_1170,Indian,Bollywood
EleLHzf3pT0_19_0_1020,Indian,Bollywood
EleLHzf3pT0_20_0_1950,Indian,Bollywood
EleLHzf3pT0_21_0_1380,Indian,Bollywood
EleLHzf3pT0_22_0_1560,Indian,Bollywood
EleLHzf3pT0_23_0_1710,Indian,Bollywood
EleLHzf3pT0_31_0_1020,Indian,Bollywood
EleLHzf3pT0_32_0_870,Indian,Bollywood
EleLHzf3pT0_33_0_1410,Indian,Bollywood
F9uWsg57OKM_04_0_900,Indian,Bollywood
F9uWsg57OKM_05_0_1620,Indian,Bollywood
F9uWsg57OKM_06_0_1260,Indian,Bollywood
F9uWsg57OKM_07_0_907,Indian,Bollywood
IU7wpCYcpOI_03_0_1680,Indian,Bollywood
IU7wpCYcpOI_04_0_1054,Indian,Bollywood
KNqdxdAOLo0_02_0_780,Indian,Bollywood
KNqdxdAOLo0_03_0_1770,Indian,Bollywood
KmoqNOcZxs8_01_9_1080,Indian,Bollywood
KmoqNOcZxs8_03_0_1590,Indian,Bollywood
NUlbziYYNVE_02_0_870,Indian,Bollywood
NUlbziYYNVE_03_0_870,Indian,Bollywood
NUlbziYYNVE_04_0_1468,Indian,Bollywood
NUlbziYYNVE_04_1490_1740,Indian,Bollywood
NUlbziYYNVE_05_184_1200,Indian,Bollywood
RqgXEPVvTcs_03_0_1350,Indian,Bollywood
SI_kPGsLQJE_04_0_1230,Indian,Bollywood
fkX5vQUcQbA_02_0_1710,Indian,Bollywood
fkX5vQUcQbA_05_0_1800,Indian,Bollywood
fkX5vQUcQbA_06_0_1740,Indian,Bollywood
fkX5vQUcQbA_07_0_1650,Indian,Bollywood
fkX5vQUcQbA_08_0_990,Indian,Bollywood
fkX5vQUcQbA_09_0_1350,Indian,Bollywood
fkX5vQUcQbA_11_0_1710,Indian,Bollywood
fkX5vQUcQbA_16_0_960,Indian,Bollywood
fkX5vQUcQbA_17_0_1050,Indian,Bollywood
fkX5vQUcQbA_21_0_1530,Indian,Bollywood
fkX5vQUcQbA_22_0_1320,Indian,Bollywood
grpg25AWV7U_01_151_780,Indian,Bollywood
grpg25AWV7U_02_0_900,Indian,Bollywood
grpg25AWV7U_03_0_611,Indian,Bollywood
jyDJEaUbfZM_02_0_1440,Indian,Bollywood
ldN39DSc1vM_01_439_1626,Indian,Bollywood
mMKH8e_-J5I_01_0_1590,Indian,Bollywood
mMKH8e_-J5I_02_26_1107,Indian,Bollywood
mMKH8e_-J5I_03_0_673,Indian,Bollywood
mMKH8e_-J5I_03_704_1110,Indian,Bollywood
mMKH8e_-J5I_04_0_840,Indian,Bollywood
obo9Jeeo5dA_04_0_1740,Indian,Bollywood
obo9Jeeo5dA_05_0_1350,Indian,Bollywood
p7jqB0p9Agk_03_0_894,Indian,Bollywood
r0s-_en2l2Y_02_0_1440,Indian,Bollywood
tl5KkCiOGFw_01_251_1950,Indian,Bollywood
tl5KkCiOGFw_02_0_1920,Indian,Bollywood
tl5KkCiOGFw_03_0_1410,Indian,Bollywood
uajU_Fa3cLo_01_338_1770,Indian,Bollywood
uajU_Fa3cLo_04_0_870,Indian,Bollywood
uajU_Fa3cLo_05_0_991,Indian,Bollywood
xFs9TG4a1zc_03_0_750,Indian,Bollywood
