id,music_genre,dance_style
57N7oUFfA1A_01_148_930,Latin,Aerobic
7-jtaKpdR9k_02_0_1740,Latin,Commercial
7-jtaKpdR9k_03_0_750,Latin,Commercial
EOUyeuJI8x8_01_0_801,Latin,Rumba
EOUyeuJI8x8_01_1089_1410,Latin,Rumba
EOUyeuJI8x8_01_954_1057,Latin,Rumba
EOUyeuJI8x8_02_25_1464,Latin,Rumba
EOUyeuJI8x8_03_1439_1800,Latin,Rumba
EOUyeuJI8x8_03_293_883,Latin,Rumba
EOuHwcmsiAI_01_360_1800,Latin,Rumba
EOuHwcmsiAI_03_0_1110,Latin,Rumba
EOuHwcmsiAI_04_0_587,Latin,Rumba
H5h1IjbcPAI_01_96_780,Latin,Commercial
H5h1IjbcPAI_01_99_1920,Latin,Commercial
H5h1IjbcPAI_02_0_1260,Latin,Commercial
H5h1IjbcPAI_02_0_1494,Latin,Commercial
H5h1IjbcPAI_03_0_1890,Latin,Commercial
H5h1IjbcPAI_04_0_671,Latin,Commercial
JiHRnSe2ozM_04_0_1230,Latin,Samba
JiHRnSe2ozM_05_0_1020,Latin,Samba
JiHRnSe2ozM_06_0_1380,Latin,Samba
JiHRnSe2ozM_07_0_1950,Latin,Samba
JiHRnSe2ozM_08_0_1800,Latin,Samba
JiHRnSe2ozM_13_0_1500,Latin,Samba
SZhU9XTCUiM_04_0_1710,Latin,Rumba
SZhU9XTCUiM_05_0_1460,Latin,Rumba
SZhU9XTCUiM_06_0_1530,Latin,Rumba
SZhU9XTCUiM_08_0_900,Latin,Rumba
SZhU9XTCUiM_09_0_1320,Latin,Rumba
SZhU9XTCUiM_12_0_1180,Latin,Rumba
SZhU9XTCUiM_13_0_1950,Latin,Rumba
SZhU9XTCUiM_16_0_840,Latin,Rumba
SZhU9XTCUiM_17_0_1260,Latin,Rumba
SZhU9XTCUiM_18_0_1170,Latin,Rumba
SZhU9XTCUiM_19_0_1500,Latin,Rumba
SZhU9XTCUiM_20_0_1190,Latin,Rumba
SZhU9XTCUiM_22_0_1530,Latin,Rumba
SZhU9XTCUiM_23_0_1710,Latin,Rumba
SZhU9XTCUiM_24_0_840,Latin,Rumba
SZhU9XTCUiM_25_0_750,Latin,Rumba
SZhU9XTCUiM_26_0_780,Latin,Rumba
SZhU9XTCUiM_28_0_1470,Latin,Rumba
SZhU9XTCUiM_32_0_1260,Latin,Rumba
SZhU9XTCUiM_33_0_1620,Latin,Rumba
SZhU9XTCUiM_35_0_930,Latin,Rumba
SZhU9XTCUiM_37_0_1020,Latin,Rumba
SZhU9XTCUiM_38_0_1030,Latin,Rumba
SZhU9XTCUiM_45_0_1770,Latin,Rumba
SZhU9XTCUiM_46_0_900,Latin,Rumba
SZhU9XTCUiM_47_0_1470,Latin,Rumba
SZhU9XTCUiM_48_0_1410,Latin,Rumba
SZhU9XTCUiM_49_0_1860,Latin,Rumba
SZhU9XTCUiM_50_0_990,Latin,Rumba
U9BedTBYgNc_02_0_1890,Latin,Aerobic
U9BedTBYgNc_03_0_1680,Latin,Aerobic
U9BedTBYgNc_04_0_780,Latin,Aerobic
U9BedTBYgNc_05_0_800,Latin,Aerobic
Y9fGtHbtsyc_02_0_1020,Latin,Zumba
Y9fGtHbtsyc_03_0_1260,Latin,Zumba
Y9fGtHbtsyc_04_0_1380,Latin,Zumba
c7Xv5slU2gg_02_0_1050,Latin,Commercial
c7Xv5slU2gg_03_0_1410,Latin,Commercial
c7Xv5slU2gg_05_0_1260,Latin,Commercial
fWUvQYYD6HQ_02_0_1860,Latin,Zumba
fWUvQYYD6HQ_03_0_1050,Latin,Zumba
macW7XMmxig_02_0_1484,Latin,Zumba
macW7XMmxig_04_0_930,Latin,Zumba
yl1pc4gh77g_02_0_1020,Latin,Zumba
yl1pc4gh77g_03_0_1170,Latin,Zumba
yl1pc4gh77g_04_0_1020,Latin,Zumba
zEB5zAz89qg_02_0_1440,Latin,Zumba
zEB5zAz89qg_03_0_750,Latin,Zumba
zEB5zAz89qg_04_0_1680,Latin,Zumba
zEB5zAz89qg_05_0_810,Latin,Zumba
zEB5zAz89qg_06_0_1140,Latin,Zumba
zEB5zAz89qg_07_0_1020,Latin,Zumba
zEB5zAz89qg_08_0_870,Latin,Zumba
zEB5zAz89qg_09_0_1410,Latin,Zumba
zEB5zAz89qg_10_0_1290,Latin,Zumba
zEB5zAz89qg_11_0_810,Latin,Zumba
zEB5zAz89qg_12_0_1710,Latin,Zumba
zEB5zAz89qg_13_0_1950,Latin,Zumba
zEB5zAz89qg_14_0_1410,Latin,Zumba
zEB5zAz89qg_15_0_840,Latin,Zumba
zEB5zAz89qg_17_0_1560,Latin,Zumba
zEB5zAz89qg_18_0_1650,Latin,Zumba
zEB5zAz89qg_19_0_1800,Latin,Zumba
zEB5zAz89qg_20_0_750,Latin,Zumba
zEB5zAz89qg_21_0_1050,Latin,Zumba
zEB5zAz89qg_22_0_990,Latin,Zumba
zEB5zAz89qg_23_0_1500,Latin,Zumba
zEB5zAz89qg_25_0_1860,Latin,Zumba
zEB5zAz89qg_26_0_840,Latin,Zumba
zEB5zAz89qg_27_0_1860,Latin,Zumba
zEB5zAz89qg_28_0_1710,Latin,Zumba
zEB5zAz89qg_29_0_1050,Latin,Zumba
zEB5zAz89qg_30_0_990,Latin,Zumba
zEB5zAz89qg_31_0_1320,Latin,Zumba
zEB5zAz89qg_32_0_750,Latin,Zumba
zEB5zAz89qg_33_0_1440,Latin,Zumba
zEB5zAz89qg_34_0_900,Latin,Zumba
zEB5zAz89qg_35_0_1620,Latin,Zumba
zEB5zAz89qg_36_0_1260,Latin,Zumba
zEB5zAz89qg_37_0_960,Latin,Zumba
zEB5zAz89qg_38_0_1560,Latin,Zumba
zEB5zAz89qg_39_0_1020,Latin,Zumba
