id,music_genre,dance_style
-4yoUMiBwXg_01_0_960,Pop,Commercial
-4yoUMiBwXg_04_0_296,Pop,Commercial
-4yoUMiBwXg_05_0_1110,Pop,Commercial
-4yoUMiBwXg_06_0_741,Pop,Commercial
-FXdDRM4lC0_01_22_900,Pop,Zumba
-FXdDRM4lC0_02_0_1890,Pop,Zumba
-FXdDRM4lC0_06_0_1830,Pop,Zumba
-FXdDRM4lC0_07_0_1290,Pop,Zumba
-FXdDRM4lC0_09_0_1080,Pop,Zumba
06aOlKUkZCs_01_0_1290,Pop,Commercial
06aOlKUkZCs_02_0_777,Pop,Commercial
06aOlKUkZCs_02_1340_1614,Pop,Commercial
06aOlKUkZCs_02_1749_1890,Pop,Commercial
06aOlKUkZCs_02_798_1297,Pop,Commercial
06aOlKUkZCs_03_0_870,Pop,Commercial
06aOlKUkZCs_04_0_1500,Pop,Commercial
06aOlKUkZCs_05_0_830,Pop,Commercial
0dqp2VUTYEY_02_0_372,Pop,Commercial
1KfoObk_foI_02_0_224,Pop,Commercial
1eYcrCmhh-w_01_14_1740,Pop,Commercial
1eYcrCmhh-w_03_0_1680,Pop,Commercial
2-CH2PgLPQM_01_0_1920,Pop,Commercial
2A9cHzAPP6Y_02_0_102,Pop,Commercial
2EhlnKTJ1vo_02_0_407,Pop,Commercial
2EhlnKTJ1vo_02_513_1950,Pop,Commercial
2EhlnKTJ1vo_03_1615_1800,Pop,Commercial
2EhlnKTJ1vo_04_0_615,Pop,Commercial
2EhlnKTJ1vo_04_669_1002,Pop,Commercial
2KVY-7-uHXM_01_117_840,Pop,Commercial
2KVY-7-uHXM_02_0_1740,Pop,Commercial
2KVY-7-uHXM_03_0_662,Pop,Commercial
2KVY-7-uHXM_04_0_900,Pop,Commercial
2OR4kXzWE0I_02_0_254,Pop,Zumba
2OR4kXzWE0I_02_311_505,Pop,Zumba
2OR4kXzWE0I_02_527_759,Pop,Zumba
2OR4kXzWE0I_02_813_932,Pop,Zumba
2R8f-0RErCI_03_434_1230,Pop,Zumba
2YMv8SB0pXY_03_0_950,Pop,Zumba
2YMv8SB0pXY_04_0_1227,Pop,Zumba
3DnbGX7dWLQ_01_41_1500,Pop,Bollywood
3DnbGX7dWLQ_02_0_900,Pop,Bollywood
3DnbGX7dWLQ_03_0_1800,Pop,Bollywood
3DnbGX7dWLQ_04_0_813,Pop,Bollywood
3WeYS-Er7hA_01_5_1710,Pop,Commercial
3WeYS-Er7hA_02_0_1080,Pop,Commercial
3WeYS-Er7hA_03_0_1290,Pop,Commercial
3WeYS-Er7hA_04_0_1410,Pop,Commercial
3eiK37tXyiY_03_0_1320,Pop,Commercial
3eiK37tXyiY_04_323_842,Pop,Commercial
3gYl_ZwQEVc_01_154_745,Pop,Commercial
3gYl_ZwQEVc_01_770_915,Pop,Commercial
3gYl_ZwQEVc_01_995_1890,Pop,Commercial
3gYl_ZwQEVc_02_667_810,Pop,Commercial
3gYl_ZwQEVc_03_0_161,Pop,Commercial
3gYl_ZwQEVc_03_269_1050,Pop,Commercial
3gYl_ZwQEVc_04_0_1410,Pop,Commercial
3tHLWW--wh8_01_0_697,Pop,Commercial
3tHLWW--wh8_01_1311_1800,Pop,Commercial
3tHLWW--wh8_01_718_1257,Pop,Commercial
3tHLWW--wh8_03_0_900,Pop,Commercial
3tHLWW--wh8_04_0_296,Pop,Commercial
3tHLWW--wh8_04_401_1064,Pop,Commercial
3wDzIogsdnU_01_0_1950,Pop,Commercial
3wDzIogsdnU_02_0_1740,Pop,Commercial
3wDzIogsdnU_03_0_1800,Pop,Commercial
4EznYbaihUk_02_0_780,Pop,Zumba
4EznYbaihUk_04_0_1860,Pop,Zumba
4n2jRj5wTDc_03_0_216,Pop,Commercial
4n2jRj5wTDc_03_433_825,Pop,Commercial
4n2jRj5wTDc_03_958_1590,Pop,Commercial
4yqtnQfB0NE_01_0_295,Pop,Commercial
4yqtnQfB0NE_01_329_1110,Pop,Commercial
4yqtnQfB0NE_02_0_840,Pop,Commercial
4yqtnQfB0NE_03_521_836,Pop,Commercial
4yqtnQfB0NE_03_949_1309,Pop,Commercial
5f1f4sD06Ws_01_0_750,Pop,Aerobic
5f1f4sD06Ws_04_0_1710,Pop,Aerobic
5k-J9PavRI0_02_0_1230,Pop,Zumba
5k-J9PavRI0_03_0_1860,Pop,Zumba
5k-J9PavRI0_07_0_1110,Pop,Zumba
5k-J9PavRI0_08_0_1110,Pop,Zumba
5k-J9PavRI0_09_0_1410,Pop,Zumba
5k-J9PavRI0_12_49_1020,Pop,Zumba
5k-J9PavRI0_15_0_1380,Pop,Zumba
5k-J9PavRI0_23_0_1830,Pop,Zumba
5k-J9PavRI0_24_0_870,Pop,Zumba
5k-J9PavRI0_25_0_1950,Pop,Zumba
5k-J9PavRI0_27_0_1500,Pop,Zumba
5k-J9PavRI0_29_0_870,Pop,Zumba
5k-J9PavRI0_30_0_870,Pop,Zumba
5k-J9PavRI0_31_0_627,Pop,Zumba
5mxst5B036w_02_0_683,Pop,Aerobic
627cQUtWXyc_03_1155_1360,Pop,Commercial
627cQUtWXyc_05_723_1080,Pop,Commercial
6Wj7TWIB1B8_03_282_936,Pop,Commercial
77LPXOjnr7o_02_0_754,Pop,Commercial
77LPXOjnr7o_02_859_1080,Pop,Commercial
77LPXOjnr7o_03_795_1160,Pop,Commercial
77LPXOjnr7o_04_0_508,Pop,Commercial
7GbKuHxCeXQ_03_0_1230,Pop,Aerobic
7HHYq1qzVe0_03_0_1170,Pop,Aerobic
7KfYyrQkxgk_02_0_1620,Pop,Zumba
7KfYyrQkxgk_03_0_1320,Pop,Zumba
7KfYyrQkxgk_04_0_1650,Pop,Zumba
7KfYyrQkxgk_05_0_1040,Pop,Zumba
7MUe7Evemj8_01_5_1860,Pop,Commercial
7WAzl-UsqxM_01_1698_1830,Pop,Commercial
7WAzl-UsqxM_02_0_761,Pop,Commercial
7WAzl-UsqxM_02_822_930,Pop,Commercial
7WAzl-UsqxM_03_0_520,Pop,Commercial
7WAzl-UsqxM_03_1643_1886,Pop,Commercial
7WAzl-UsqxM_03_563_769,Pop,Commercial
7WAzl-UsqxM_03_793_1003,Pop,Commercial
7jODXRC2V68_01_83_1650,Pop,Commercial
7jODXRC2V68_04_0_1159,Pop,Commercial
7nAdSGofDqY_01_8_900,Pop,Commercial
7nAdSGofDqY_03_102_252,Pop,Commercial
7nAdSGofDqY_03_899_1080,Pop,Commercial
7nAdSGofDqY_04_0_1295,Pop,Commercial
7nAdSGofDqY_05_0_908,Pop,Commercial
7nAdSGofDqY_05_935_1091,Pop,Commercial
7r60jYrJDeo_01_0_750,Pop,Commercial
7r60jYrJDeo_02_0_1950,Pop,Commercial
7r60jYrJDeo_03_0_990,Pop,Commercial
7r60jYrJDeo_04_0_1050,Pop,Commercial
7sh79FmTZ6o_03_0_990,Pop,Commercial
8Lte17Ms_I8_01_0_435,Pop,Commercial
8Lte17Ms_I8_02_0_128,Pop,Commercial
9GgtL-BL-GE_02_0_604,Pop,Commercial
9GgtL-BL-GE_02_1660_1942,Pop,Commercial
9GgtL-BL-GE_02_653_1603,Pop,Commercial
9GgtL-BL-GE_03_691_1710,Pop,Commercial
9J8lgiqfvUk_01_0_720,Pop,Aerobic
9WVP8a0fqDk_02_9_1170,Pop,Commercial
9ZJ8EC36PdY_03_0_930,Pop,Commercial
9_6R0Ov5juA_01_225_1410,Pop,Commercial
9_6R0Ov5juA_04_8_413,Pop,Commercial
9dBdX8tTagI_01_68_1890,Pop,Commercial
9ghZWMjHt7g_02_0_1089,Pop,Aerobic
9wM2YN7aFWk_02_0_197,Pop,Aerobic
9wM2YN7aFWk_02_998_1290,Pop,Aerobic
9wM2YN7aFWk_03_315_1885,Pop,Aerobic
AImcBzAgJsE_02_0_970,Pop,Commercial
AMaotqJIUm0_01_216_483,Pop,Commercial
AMaotqJIUm0_01_596_780,Pop,Commercial
AMaotqJIUm0_02_20_1050,Pop,Commercial
AMaotqJIUm0_03_0_750,Pop,Commercial
AMaotqJIUm0_04_126_778,Pop,Commercial
AMaotqJIUm0_05_56_647,Pop,Commercial
AMaotqJIUm0_05_994_1140,Pop,Commercial
