id,music_genre,dance_style
8BGxA8bbNjE_01_101_1410,R&B,Commercial
8BGxA8bbNjE_03_0_1440,R&B,Commercial
8BGxA8bbNjE_04_0_930,R&B,Commercial
BcUg7HWjuAM_01_92_1560,R&B,Commercial
BcUg7HWjuAM_02_0_900,R&B,Commercial
BcUg7HWjuAM_03_0_1230,R&B,Commercial
BcUg7HWjuAM_04_0_1260,R&B,Commercial
BiR3e-GEjNQ_03_0_1110,R&B,Zumba
BiR3e-GEjNQ_04_0_1080,R&B,Zumba
BiR3e-GEjNQ_05_0_1500,R&B,Zumba
DJP2SKRV9z0_01_114_1050,R&B,Aerobic
DJP2SKRV9z0_02_0_1710,R&B,Aerobic
Eb4_y_ck1WY_02_1367_1830,R&B,Commercial
EoTsLtHoJRM_01_98_1440,R&B,Aerobic
EoTsLtHoJRM_02_0_1020,R&B,Aerobic
EoTsLtHoJRM_03_0_1410,R&B,Aerobic
EoTsLtHoJRM_04_0_1890,R&B,Aerobic
F0Qb0lVy7x4_01_33_1410,R&B,Commercial
F0Qb0lVy7x4_02_0_966,R&B,Commercial
FNp36zWB4tE_02_0_1500,R&B,Zumba
FNp36zWB4tE_04_0_1200,R&B,Zumba
FNp36zWB4tE_06_0_1440,R&B,Zumba
FNp36zWB4tE_07_0_1830,R&B,Zumba
FNp36zWB4tE_08_0_1065,R&B,Zumba
FNp36zWB4tE_09_0_750,R&B,Zumba
FNp36zWB4tE_11_0_674,R&B,Zumba
FNp36zWB4tE_15_0_1200,R&B,Zumba
Ha3T95oXDb8_02_0_750,R&B,Zumba
Ha3T95oXDb8_03_0_1440,R&B,Zumba
Ha3T95oXDb8_04_0_1830,R&B,Zumba
Ha3T95oXDb8_05_0_1740,R&B,Zumba
Ha3T95oXDb8_06_0_988,R&B,Zumba
Ha3T95oXDb8_06_1042_1230,R&B,Zumba
Ha3T95oXDb8_07_0_1680,R&B,Zumba
Ha3T95oXDb8_08_0_1020,R&B,Zumba
Ha3T95oXDb8_09_0_840,R&B,Zumba
Haj55e9ZlxE_01_0_1369,R&B,Zumba
Haj55e9ZlxE_02_0_810,R&B,Zumba
Iu_9pPFzvzQ_01_24_870,R&B,Zumba
Iu_9pPFzvzQ_03_0_780,R&B,Zumba
KWp1RUibbOg_03_31_1230,R&B,Aerobic
KWp1RUibbOg_04_0_1410,R&B,Aerobic
KWp1RUibbOg_05_0_1650,R&B,Aerobic
KWp1RUibbOg_07_0_1260,R&B,Aerobic
Kg9Ewf4J16E_01_59_960,R&B,Commercial
Kg9Ewf4J16E_02_209_1470,R&B,Commercial
O8T4hPMs2-U_02_0_1320,R&B,Zumba
O8T4hPMs2-U_03_0_1890,R&B,Zumba
O8T4hPMs2-U_04_0_1577,R&B,Zumba
PxaGCHVh4RU_02_0_1470,R&B,Aerobic
RrFYGPXuCNg_03_0_1470,R&B,Aerobic
RrFYGPXuCNg_04_0_1560,R&B,Aerobic
RrFYGPXuCNg_06_0_780,R&B,Aerobic
RrFYGPXuCNg_07_0_1200,R&B,Aerobic
RrFYGPXuCNg_08_0_1230,R&B,Aerobic
RrFYGPXuCNg_09_0_1110,R&B,Aerobic
RrFYGPXuCNg_11_0_1680,R&B,Aerobic
RrFYGPXuCNg_16_0_1680,R&B,Aerobic
RrFYGPXuCNg_17_0_900,R&B,Aerobic
RrFYGPXuCNg_18_0_1500,R&B,Aerobic
RrFYGPXuCNg_19_0_1350,R&B,Aerobic
SULGKrn_S5A_05_0_1784,R&B,Aerobic
SULGKrn_S5A_14_0_900,R&B,Aerobic
SULGKrn_S5A_18_0_900,R&B,Aerobic
SULGKrn_S5A_23_0_990,R&B,Aerobic
SULGKrn_S5A_25_0_1371,R&B,Aerobic
SULGKrn_S5A_26_0_1470,R&B,Aerobic
Utb4GaKWsiU_01_80_1500,R&B,Aerobic
Utb4GaKWsiU_02_0_1440,R&B,Aerobic
Utb4GaKWsiU_03_0_870,R&B,Aerobic
Utb4GaKWsiU_04_0_870,R&B,Aerobic
Utb4GaKWsiU_05_0_780,R&B,Aerobic
YmsQE61Oa84_02_0_990,R&B,Zumba
YmsQE61Oa84_03_0_1590,R&B,Zumba
YmsQE61Oa84_04_0_1140,R&B,Zumba
YmsQE61Oa84_05_0_1330,R&B,Zumba
agELgQzrZqw_02_0_1620,R&B,Aerobic
agELgQzrZqw_04_0_1590,R&B,Aerobic
uitvYa5NsJI_04_0_1200,R&B,Samba
uitvYa5NsJI_08_0_1890,R&B,Samba
uitvYa5NsJI_09_0_1380,R&B,Samba
uitvYa5NsJI_12_0_750,R&B,Samba
uitvYa5NsJI_13_0_960,R&B,Samba
uitvYa5NsJI_15_0_960,R&B,Samba
uitvYa5NsJI_16_0_1890,R&B,Samba
uitvYa5NsJI_17_0_1020,R&B,Samba
uitvYa5NsJI_18_0_1950,R&B,Samba
uitvYa5NsJI_20_0_1260,R&B,Samba
uitvYa5NsJI_21_0_1230,R&B,Samba
