id,music_genre,dance_style
0GswvqEJekU_01_0_960,Rap,Aerobic
2u-S8qIeDkQ_01_5_750,Rap,Commercial
2u-S8qIeDkQ_05_0_911,Rap,Commercial
3NOvSv9Q1lE_03_0_1440,Rap,Aerobic
3NOvSv9Q1lE_04_0_1830,Rap,Aerobic
3NOvSv9Q1lE_06_0_1230,Rap,Aerobic
3NOvSv9Q1lE_07_0_1680,Rap,Aerobic
3ZwtYUQrfX0_01_204_1560,Rap,Aerobic
3ntdfkl2hsM_01_106_1110,Rap,Zumba
3ntdfkl2hsM_02_0_1740,Rap,Zumba
6BnbPDbdp58_03_0_990,Rap,Aerobic
6BnbPDbdp58_04_0_1650,Rap,Aerobic
78B8CdaoZeA_03_777_1205,Rap,Aerobic
9eKgqkPUs1I_02_0_734,Rap,Aerobic
9eKgqkPUs1I_02_775_960,Rap,Aerobic
9eKgqkPUs1I_14_0_1440,Rap,Aerobic
9eKgqkPUs1I_15_0_1290,Rap,Aerobic
9eKgqkPUs1I_16_0_810,Rap,Aerobic
9eKgqkPUs1I_17_0_1350,Rap,Aerobic
9eKgqkPUs1I_18_0_1320,Rap,Aerobic
9eKgqkPUs1I_19_0_1020,Rap,Aerobic
9eKgqkPUs1I_21_0_1860,Rap,Aerobic
9eKgqkPUs1I_22_0_1020,Rap,Aerobic
9eKgqkPUs1I_23_0_1770,Rap,Aerobic
9eKgqkPUs1I_24_0_1500,Rap,Aerobic
9eKgqkPUs1I_25_0_1020,Rap,Aerobic
9eKgqkPUs1I_26_0_1140,Rap,Aerobic
9eKgqkPUs1I_27_0_990,Rap,Aerobic
9eKgqkPUs1I_28_0_1560,Rap,Aerobic
9eKgqkPUs1I_29_0_1759,Rap,Aerobic
Ano6SmTFRO4_01_3_1140,Rap,Aerobic
Ano6SmTFRO4_02_0_810,Rap,Aerobic
Ano6SmTFRO4_03_0_1440,Rap,Aerobic
Ano6SmTFRO4_04_0_1140,Rap,Aerobic
Bl3gp4FHEsU_01_371_929,Rap,Aerobic
Bl3gp4FHEsU_02_0_528,Rap,Aerobic
Bl3gp4FHEsU_02_669_1800,Rap,Aerobic
Cgnl9-2PuVc_02_0_1440,Rap,Aerobic
Cgnl9-2PuVc_03_0_900,Rap,Aerobic
Cgnl9-2PuVc_05_0_1740,Rap,Aerobic
EX52JVPyGJY_01_102_840,Rap,Commercial
EX52JVPyGJY_05_0_960,Rap,Commercial
WORirbXAI8A_01_340_1140,Rap,Commercial
bjLxWnUCzvk_04_0_1800,Rap,Aerobic
c5atsK5KBbA_02_0_1080,Rap,Aerobic
cMA195IGdQI_02_0_960,Rap,Aerobic
cMA195IGdQI_03_0_1530,Rap,Aerobic
cMA195IGdQI_04_0_1470,Rap,Aerobic
cMA195IGdQI_08_325_1680,Rap,Aerobic
cMA195IGdQI_09_26_1440,Rap,Aerobic
fIbiwph3UhA_02_0_1680,Rap,Aerobic
fIbiwph3UhA_03_0_1050,Rap,Aerobic
fIbiwph3UhA_04_0_1800,Rap,Aerobic
im8b772illw_01_41_372,Rap,Commercial
im8b772illw_02_0_677,Rap,Commercial
im8b772illw_02_855_1680,Rap,Commercial
im8b772illw_03_0_870,Rap,Commercial
im8b772illw_05_0_840,Rap,Commercial
