id,music_genre,dance_style
0ghurzzNQ54_02_0_810,Reggae,Samba
0ghurzzNQ54_03_0_1350,Reggae,Samba
0ghurzzNQ54_04_0_1320,Reggae,Samba
0ghurzzNQ54_05_0_1020,Reggae,Samba
0ghurzzNQ54_07_0_1860,Reggae,Samba
0ghurzzNQ54_08_0_1020,Reggae,Samba
0ghurzzNQ54_10_0_1500,Reggae,Samba
0ghurzzNQ54_12_0_1140,Reggae,Samba
0ghurzzNQ54_13_0_990,Reggae,Samba
0ghurzzNQ54_14_0_1400,Reggae,Samba
4buGbfndTwM_01_306_1080,Reggae,Zumba
4buGbfndTwM_02_0_1061,Reggae,Zumba
4buGbfndTwM_02_1089_1830,Reggae,Zumba
4buGbfndTwM_03_0_1230,Reggae,Zumba
4buGbfndTwM_04_0_780,Reggae,Zumba
7NJP_38AfbU_03_0_896,Reggae,Aerobic
7NJP_38AfbU_03_925_1686,Reggae,Aerobic
7NJP_38AfbU_05_0_1240,Reggae,Aerobic
8DULcFPfwMw_02_0_1260,Reggae,Commercial
8DULcFPfwMw_03_0_1020,Reggae,Commercial
8YHErSCYVOo_03_0_911,Reggae,Aerobic
8YHErSCYVOo_03_937_1080,Reggae,Aerobic
8YHErSCYVOo_04_0_1140,Reggae,Aerobic
8YHErSCYVOo_05_0_211,Reggae,Aerobic
8YHErSCYVOo_05_243_549,Reggae,Aerobic
8YHErSCYVOo_05_581_1517,Reggae,Aerobic
8dR9TdUb_7o_06_368_780,Reggae,Zumba
8dR9TdUb_7o_08_0_1380,Reggae,Zumba
8dR9TdUb_7o_09_0_810,Reggae,Zumba
8dR9TdUb_7o_10_0_1200,Reggae,Zumba
Aor6HjWVgio_01_0_1560,Reggae,Zumba
Aor6HjWVgio_04_0_1950,Reggae,Zumba
Aor6HjWVgio_05_0_1440,Reggae,Zumba
BAeXDKXLFDo_04_0_1020,Reggae,Bollywood
BAeXDKXLFDo_06_0_990,Reggae,Bollywood
BAeXDKXLFDo_07_0_1459,Reggae,Bollywood
C4B7ZDi1P10_02_0_1080,Reggae,Aerobic
C4B7ZDi1P10_04_0_960,Reggae,Aerobic
C4B7ZDi1P10_05_0_1390,Reggae,Aerobic
CftkR5cyTLE_02_0_1740,Reggae,Zumba
CftkR5cyTLE_03_0_930,Reggae,Zumba
CftkR5cyTLE_04_0_750,Reggae,Zumba
E7FK4KDdIOc_02_0_1890,Reggae,Aerobic
E7FK4KDdIOc_03_0_1860,Reggae,Aerobic
E7FK4KDdIOc_04_0_120,Reggae,Aerobic
E7FK4KDdIOc_04_141_567,Reggae,Aerobic
